name,ring,quadrant,isNew,description
Pre-compute as much as you can,adopt,techniques,FALSE,"Many parts of our web site are read heavy, so in a lot of places it makes sense to pre-compute instead of reacting to a request. Examples would be change propagation for listings, static content and CQRS"
Two-Factor auth. for everyone where possible,adopt,techniques,FALSE,As we are using public cloud services and managed services reachable from the Internet we consider a second factor during authentication as a must-have.
Shadow Traffic,adopt,techniques,FALSE,Testing new services with natural traffic has proven to be a reliable method. Replicating traffic to the shadowed system is easy to implement.
Game Day Exercises,adopt,techniques,FALSE,"We want to avoid the 'backup without recovery' or the 'untested disaster readiness plan'. We should excercise our disaster recovery strategy regularly and have game days with different kinds of disasters. <a href=""http://blog.cognitect.com/blog/2016/3/3/the-new-normal-minimize-risk-by-maximizing-change"">THE NEW NORMAL: Minimize risk by maximizing change</a>"
Feature Toggles 'the proper way',adopt,techniques,FALSE,"There couldn't be a better explanation: <a href=""http://martinfowler.com/articles/feature-toggles.html"">Pete Hodgson on Martin Fowler's Bliki - Feature Toggles</a>. Read it. Do it."
Q.A. in Production,adopt,techniques,FALSE,"With the rise of Continuous Delivery, the QA role is shifting to include analyzing software product quality in production. This involves monitoring of the production systems, coming up with alert conditions to detect urgent errors, determining ongoing quality issues and figuring out what measurements you can use in the production environment to make this work. This does not mean that pre-production QA is not needed anymore."
Custom Elements,adopt,techniques,TRUE,"<a href=""https://www.w3.org/TR/custom-elements/"">Custom Elements</a> is a capability for creating your own custom HTML elements. They can have their own scripted behavior and CSS styling. They are a part of web components, but can also be used by themselves."
External User Journey Monitoring,trial,techniques,FALSE,"In addition to monitoring individual services, we need to make sure that typical journeys of our users on AutoScout24 are working and performant from the outside. For example the search funnel journey from home page to creating a lead or the journey to create a listing."
CI Pipeline as Code,trial,techniques,FALSE,"We strive to keep logic out of the build pipeline and every deployment should be runnable from the developer's machine. But still there are manual steps required and changes in the pipeline are not tracked together with the source repository. Therefore we think it is a good option to put the pipeline configuration under version control, too."
Docker as artifact,trial,techniques,FALSE,"Docker is offering many advantages like immutability, independence and portability. We want to profit from those, but without the burden of maintaining Docker clusters in the first hand. Therefore we currently see the Docker container mostly as a build artifact"
