name,ring,quadrant,isNew,description
Game day exercises,adopt,techniques,FALSE,"We want to avoid the ""backup without recovery"" or the ""untested disaster readiness plan"". We should excercise our disaster recovery strategy regularly and have game days with different kinds of disasters. It is expected that game day excercises lead to many challenges and expose missing automation and concepts. <a href=""http://blog.cognitect.com/blog/2016/3/3/the-new-normal-minimize-risk-by-maximizing-change"">The new normal: Minimize risk by maximizing change</a>"
External user journey monitoring,adopt,techniques,FALSE,"In addition to monitoring individual services, we need to make sure that typical journeys of our users on AutoScout24 are working and performant from the outside. For example, the search funnel journey from home page to creating a lead or the journey to create a listing."
Performance monitoring,adopt,techniques,FALSE,Continuous monitoring and visualizing most important client side performance metrics on team dashboards. The goal is that degradation in client side performance is treated in the same way as red builds or bugs in production.
Business KPI monitoring,adopt,techniques,FALSE,"In addition to a ""keep the lights on"" monitoring, we need to include a business minded approach to monitoring. Include relevant business KPIs on dashboards and alert on anomalies in those metrics. Is everything green for our customers and our business?  "
Architecture decision records,adopt,techniques,FALSE,"<a href=""https://github.com/npryce/adr-tools"">Architecture decision records</a> are a lightweight approach to document important architecural decisions. The records of those decisions live in the same repository as the service itself."
Canary releases,adopt,techniques,TRUE,"The name for this technique originates from miners who would carry a canary in a cage down the coal mines. If toxic gases leaked into the mine, it would kill the canary before killing the miners. A canary release provides a similar form of early warning for potential problems before impacting your entire production infrastructure or user base. Compared to ""Feature toggles"" or ""Blue / green deployments"" this is not a simple switch, but more a slider. Toguru as well as AutoCanary24 support canary Releases. You can canary release toggled features with traffic distribution or you can canary deploy new service instances with traffic distribution or shadow traffic. <a href=""https://cloudplatform.googleblog.com/2017/03/how-release-canaries-can-save-your-bacon-CRE-life-lessons.html"">Google blog post on canaries.</a>"
Data-driven decisions,adopt,techniques,TRUE,"Although we are experimenting and collecting data, we understand that we need to get even better at enabling experimentation across services and improve our skills at hypothesis-driven development."
Trunk-based development,adopt,techniques,TRUE,"A model of using source-control, where developers collaborate on code in a single branch called ""trunk"" or ""master"" instead of creating long-lived feature branches. They therefore avoid merge hell, do not break the build, and live happily ever after.

Opposite, feature branches isolate your work and defer continuous integration. The longer they exist the more it hurts to merge them back. Practices like Gitflow can support such a behaviour. When the only reason to start a new branch is the fear of continuous integration and therefore continuous deployment, don't do it.

Short-lived branches are ok, as long as they are merged within a day. <a href=""https://trunkbaseddevelopment.com/"">More on trunk-based development.</a>"
Linting,adopt,techniques,TRUE,"Linting is the process of running a program that will analyse code for potential errors. It plays a big role for loosly typed languages. Some tools just format the code and, therefore, free the programmer from trivial work, enforce consistent styling and make code reviews simpler since only actual changes are included, other can fix simple errors. Most of the tools can be integrated in IDE of your choice as well as included in build pipeline to provide feedback during build process. We use:
* <a href=""https://eslint.org/"" target=""_blank"">ESlint</a> for JavaScript
* <a href=""http://scalameta.org/scalafmt/"" target=""_blank"">Scalafmt</a> for Scala
* <a href=""https://github.com/realm/SwiftLint"" target=""_blank"">SwiftLint</a> for Swift
* <a href=""http://tools.android.com/tips/lint"" target=""_blank"">Lint</a> for Android"
Flux pattern,adopt,techniques,TRUE,"Flux is an application architecture introduced by Facebook. Usually mentioned in conjunction with React.js, Flux is based on a one-way flow of data up through the rendering pipeline. Flux embraces the modern web landscape of client-side JavaScript applications in a way that avoids the venerable MV* clichés. This architectural style meshes well with service orientation and solves some of the problems inherent in two-way data binding."
Consumer-driven contracts (CDC),trial,techniques,FALSE,"<a href=""http://martinfowler.com/articles/consumerDrivenContracts.html"">Consumer-driven contracts</a> is a pattern for evolving services. Each consumer provides a contract to the service provider. The service provider can use these contracts to check if a planned change will break a client."
